domain,label,confidence,brand_name_primary,brand_names_all,country_primary,countries_all,sources,classification_reasons,text_score,vision_score,stage_used
bluelemon.ch,Pure Bodywear,0.979591836734694,BLUE LEMON AG,BLUE LEMON AG,Switzerland,Switzerland,HS segment,"bodywear:lingerie,underwear,swimwear,loungewear",0.979591836734694,,http
hunkemoller.nl,Pure Bodywear,0.979591836734694,Hunkemöller International B.V.,Hunkemöller International B.V.,Netherlands,Netherlands,Dealfront,"bodywear:lingerie,bra,bodywear,bh,slips",0.979591836734694,,http
calida.com,Pure Bodywear,0.9791666666666666,Calida AG,CALIDA|Calida|Calida AG|calida,Switzerland,Germany|Switzerland,Body Fashion Trade Fair|Dealfront|FU|HS fairs|HS segment|Salon|e-com retailers,"bodywear:underwear,bra,bras,briefs,nightwear",0.9791666666666666,,http
kikidm.com,Pure Bodywear,0.9791666666666666,KIKI,KIKI,Germany,Germany,Salon,"bodywear:lingerie,bra,bras,panties,pajamas",0.9791666666666666,,http
prettypolly.co.uk,Pure Bodywear,0.9787234042553192,pretty-polly,pretty-polly,United Kingdom,United Kingdom,FU,"bodywear:lingerie,shapewear,hosiery",0.9787234042553192,,http
louisabracq.com,Pure Bodywear,0.9782608695652174,Louisa Bracq,LOUISA BRACQ|Louisa Bracq|Louise Bracq,France,France,Body Fashion Trade Fair|FU|HS fairs|Salon|e-com retailers,"bodywear:bra,bras,briefs,panties,boxer",0.9782608695652174,,http
softrevolt.com,Pure Bodywear,0.9782608695652174,SOFT REVOLT,SOFT REVOLT,Netherlands,Netherlands,Salon,"bodywear:bh,slip,slips,string",0.9782608695652174,,http
simoneperele.com,Pure Bodywear,0.9782608695652174,Simone Pérèle,Simone Pérèle,France,France,e-com retailers,"bodywear:lingerie,bras,briefs,panties,shapewear",0.9782608695652174,,http
huber-bodywear.com,Pure Bodywear,0.9777777777777776,Huber Bodywear GmbH,Huber Bodywear GmbH,Austria,Austria,HS segment,"bodywear:shapewear,loungewear,slips,unterwäsche,nachtwäsche",0.9777777777777776,,http
felina.com,Pure Bodywear,0.9772727272727272,Felina GmbH,Felina GmbH,Germany,Germany,Body Fashion Trade Fair,"bodywear:lingerie,bra,bras,panties,sleepwear",0.9772727272727272,,http
cdlp.com,Pure Bodywear,0.9772727272727272,CDLP,CDLP,Sweden,Sweden,HS segment,"bodywear:underwear,bras,swimwear,swim,boxer",0.9772727272727272,,http
rosmelingerie.com,Pure Bodywear,0.9761904761904762,Rosme Lingerie,Rosme Lingerie,Latvia,Latvia,HS segment,"bodywear:underwear,bras,briefs,nightwear,pajamas",0.9761904761904762,,http
skiny.com,Pure Bodywear,0.975,Skiny,Skiny|Skiny Bodywear GmbH,Austria,Austria,FU|HS segment,"bodywear:loungewear,slips,pyjama,unterwäsche,nachtwäsche",0.975,,http
speidel-lingerie.de,Pure Bodywear,0.975,Speidel GmbH,Speidel GmbH,Germany,Germany,HS segment,"bodywear:shapewear,bh,slip,slips,string",0.975,,http
speidelshop.com,Pure Bodywear,0.975,SPEIDEL GMBH,SPEIDEL GMBH|Speidel GmbH,Germany,Germany,Dealfront|Supreme Body & Beach,"bodywear:shapewear,bh,slip,slips,string",0.975,,http
marliesdekkers.com,Pure Bodywear,0.9736,Marlies Dekkers,Dare to Be B.V.|Marlies Dekkers,Netherlands,Netherlands,Body Fashion Trade Fair|FU|HS segment,"bodywear:lingerie,bras,briefs,bikini,tanga;generalist:accessories",0.9736,,http
comfyballs.no,Pure Bodywear,0.972972972972973,Comfyballs.no,Comfyballs.no,Norway,Norway,HS segment,"bodywear:bh,string,hipster",0.972972972972973,,http
fantasie.com,Pure Bodywear,0.9723602484472048,fantasie,Fantasie|fantasie,United Kingdom,United Kingdom,FU|e-com retailers,"bodywear:lingerie,underwear,bras,nightwear,swimwear;generalist:accessories",0.9723602484472048,,http
abecita.se,Pure Bodywear,0.9714285714285714,Abecita,Abecita,Sweden,Sweden,e-com retailers,"bodywear:underwear,bra,bras,panties,swimwear",0.9714285714285714,,http
cadolle.com,Pure Bodywear,0.9714285714285714,CADOLLE,CADOLLE,France,France,HS fairs,"bodywear:lingerie,bras,briefs,panties,pyjamas",0.9714285714285714,,http
boutique-arthur.com,Pure Bodywear,0.9713333333333334,Arthur,Arthur,France,France,FU,"bodywear:pyjamas,boxers,slips,pyjama,sous-vêtements;generalist:maison",0.9713333333333334,,http
arthur.fr,Pure Bodywear,0.9713333333333334,Arthur/2JDL,Arthur/2JDL,France,France,Body Fashion Trade Fair,"bodywear:pyjamas,boxers,slips,pyjama,sous-vêtements;generalist:maison",0.9713333333333334,,http
moretta.biz,Pure Bodywear,0.9696969696969696,MORETTA,MORETTA,Italy,Italy,HS fairs|Salon,"bodywear:slip,boxer",0.9696969696969696,,http
swegmark.se,Pure Bodywear,0.9696969696969696,Swegmark,Swegmark|Underwear of Sweden,Sweden,Sweden,HS segment|e-com retailers,bodywear:bh,0.9696969696969696,,http
lingerieroomofficial.co.uk,Pure Bodywear,0.9696969696969696,LINGERIE ROOM,LINGERIE ROOM,United Kingdom,United Kingdom,HS fairs,"bodywear:lingerie,bras,briefs,nightwear,knickers",0.9696969696969696,,http
agdastudios.com,Pure Bodywear,0.96875,AGDA STUDIOS,AGDA STUDIOS,,,HS fairs,"bodywear:swimwear,bikini",0.96875,,http
us.chantelle.com,Pure Bodywear,0.967741935483871,,,,,,"bodywear:bra,bras,panties,bikini,thong",0.967741935483871,,http
byrroselingerie.com,Pure Bodywear,0.967741935483871,ROSE,ROSE,Germany,Germany,Salon,bodywear:lingerie,0.967741935483871,,http
ambassador1867.com,Pure Bodywear,0.967741935483871,AMBASSADOR1867,AMBASSADOR1867,Denmark,Denmark,HS fairs,"bodywear:pyjamas,boxershorts",0.967741935483871,,http
marcandandre.com,Pure Bodywear,0.9666666666666668,MARC & ANDRE,MARC & ANDRE|Marc & André Deutschland GmbH,Germany,Germany,HS segment|Supreme Body & Beach,"bodywear:lingerie,loungewear",0.9666666666666668,,http
bluebella.com,Pure Bodywear,0.9660305343511448,BlueBella,BlueBella|Bluebella,United Kingdom,United Kingdom,FU|HS segment,"bodywear:lingerie,bra,bras,nightwear,swimwear;generalist:accessories",0.9660305343511448,,http
scandale.com,Pure Bodywear,0.9647540983606556,SCANDALE ECO LINGERIE,SCANDALE ECO LINGERIE,France,France,HS fairs,"bodywear:lingerie,string,tanga,soutien-gorge,culotte;generalist:maison",0.9647540983606556,,http
eminence.fr,Pure Bodywear,0.9642857142857144,Eminence,Eminence|Eminence Benelux,France,Belgium|France,Body Fashion Trade Fair|Dealfront|e-com retailers,"bodywear:pyjamas,boxers,slips,sous-vêtements",0.9642857142857144,,http
simone-perele.com,Pure Bodywear,0.9638211382113822,sa-simone-perele-sa,Simone Perele SA|sa-simone-perele-sa,France,France,Dealfront|FU,"bodywear:lingerie,bras,panties,nightwear,shapewear;generalist:accessories",0.9638211382113822,,http
rougegorge.com,Pure Bodywear,0.9632231404958678,Rougegorge,Rougegorge|Rougegorge Lingerie,France,France,Dealfront|FU,"bodywear:lingerie,pyjamas,sous-vêtements,soutien-gorge,maillot de bain;generalist:vestes",0.9632231404958678,,http
modibodi.co.uk,Pure Bodywear,0.9629629629629628,MODIBODI United,MODIBODI|MODIBODI United,United Kingdom,United Kingdom,HS fairs|Salon,"bodywear:lingerie,underwear,bras,briefs,sleepwear",0.9629629629629628,,http
cybele-lingerie.de,Pure Bodywear,0.96,Cybèle,Cybèle|Südtrikot GmbH & Co. KG,Germany,Germany,FU|HS segment,bodywear:bras,0.96,,http
naturana.com,Pure Bodywear,0.96,NATURANA,NATURANA|NATURANA DÖLKER GMBH & CO. KG|NATURANA Dölker GmbH & Co. KG,Germany,Germany,Dealfront|FU|Salon|Supreme Body & Beach,bodywear:bras,0.96,,http
naturana.de,Pure Bodywear,0.96,JOOP!,JOOP!,Germany,Germany,HS fairs,bodywear:bras,0.96,,http
lovane-lingerie.com,Pure Bodywear,0.96,LÖVANE,LÖVANE,France,France,HS fairs,"bodywear:lingerie,culotte,maillots,shorty",0.96,,http
ulla.de,Pure Bodywear,0.96,VERTRIEBS GMBH,Ulla|VERTRIEBS GMBH,Germany,Germany,HS segment|Supreme Body & Beach,"bodywear:lingerie,bh,slips,dessous,bademode",0.96,,http
annadiva.nl,Pure Bodywear,0.9585185185185184,annadiva,ANNADIVA|Dutch Bodyfashion B.V. / Annadiva|annadiva,Netherlands,Netherlands,FU|HS segment|Salon,"bodywear:lingerie,swim,bikini,ondergoed,bh;generalist:accessoires,sieraden",0.9585185185185184,,http
goldenhourlingerie.com,Pure Bodywear,0.9583333333333334,GOLDEN HOUR LINGERIE,GOLDEN HOUR LINGERIE,France,France,Salon,"bodywear:lingerie,soutien-gorge,culotte",0.9583333333333334,,http
ladymate.com,Pure Bodywear,0.9565789473684212,"Shantou Ladymate Apparel Co.,Ltd","Shantou Ladymate Apparel Co.,Ltd",United Kingdom,United Kingdom,Dealfront,"bodywear:lingerie,underwear,bra,bras,briefs;generalist:home",0.9565789473684212,,http
carami.it,Pure Bodywear,0.9565217391304348,CARAMI,CARAMI,Italy,Italy,HS fairs,"bodywear:loungewear,slip,culotte,intimo,reggiseno",0.9565217391304348,,http
fleurofengland.com,Pure Bodywear,0.9552,Fleur of England Ltd,FLEUR OF ENGLAND United|Fleur of England Ltd,United Kingdom,United Kingdom,HS fairs|HS segment|Salon,"bodywear:lingerie,bras,briefs,nightwear,hosiery;generalist:accessories",0.9552,,http
jockey.de,Pure Bodywear,0.9523809523809524,jockey,jockey,Germany,Germany,FU,"bodywear:bras,briefs,boxers,trunks,boxer",0.9523809523809524,,http
wolflingerie.com,Pure Bodywear,0.9523809523809524,wolflingerie,wolflingerie,France,France,FU,bodywear:lingerie,0.9523809523809524,,http
dot76.it,Pure Bodywear,0.9523809523809524,DOT76,DOT 76|DOT76,Italy,Italy,HS fairs|Salon,bodywear:lingerie,0.9523809523809524,,http
eu.hofsilk.com,Pure Bodywear,0.9523809523809524,HOUSE OF SILK,HOUSE OF SILK,,,HS fairs,"bodywear:lingerie,bras,panties,pyjamas,swimwear",0.9523809523809524,,http
kalyora.com,Pure Bodywear,0.9523809523809524,Kaly Ora,Kaly Ora,Belgium,Belgium,HS fairs,bodywear:swimwear,0.9523809523809524,,http
seafolly.com,Pure Bodywear,0.9511363636363636,JETS AUSTRALIA,JETS AUSTRALIA,Netherlands,Netherlands,Supreme Body & Beach,"bodywear:swimwear,swim,bikini,hipster;generalist:accessories",0.9511363636363636,,http
beliza.fr,Pure Bodywear,0.95,Beliza,Beliza,France,France,FU,"bodywear:lingerie,swimwear,maillot de bain",0.95,,http
dorina.com,Pure Bodywear,0.95,D O R I N A,D O R I N A|DORINA|Dorina,Germany,Germany|Hungary|Netherlands,FU|Salon|e-com retailers,"bodywear:lingerie,bras,briefs,sleepwear,loungewear",0.95,,http
undiz.com,Pure Bodywear,0.95,Undiz,Undiz|undiz,France,France,Dealfront|FU|HS segment,"bodywear:lingerie,pyjamas;generalist:accessoires",0.95,,http
roesch-fashion.com,Pure Bodywear,0.95,Rösch Fashion GmbH & Co. KG,Rösch Fashion GmbH & Co. KG,Germany,Germany,Dealfront|HS fairs|HS segment,"bodywear:pyjamas,loungewear,nachtwäsche,bademode",0.95,,http
roesch-fashion.de,Pure Bodywear,0.95,RÖSCH FASHION GMBH & CO. KG,RÖSCH FASHION GMBH & CO. KG,Germany,Germany,Supreme Body & Beach,"bodywear:pyjamas,loungewear,nachtwäsche,bademode",0.95,,http
lingeriebycoco.com,Pure Bodywear,0.947560975609756,COCO,COCO,Germany,Germany,Salon,"bodywear:lingerie,bra,panties,loungewear;generalist:accessories",0.947560975609756,,http
lovable.it,Pure Bodywear,0.9473684210526316,Lovable,Lovable,Italy,Italy,FU,"bodywear:slip,boxer,intimo,reggiseno",0.9473684210526316,,http
davidnieper.co.uk,Pure Bodywear,0.9473684210526316,David Nieper Limited,David Nieper Limited,United Kingdom,United Kingdom,Dealfront,"bodywear:lingerie,nightwear",0.9473684210526316,,http
bellycloud.com,Pure Bodywear,0.9473684210526316,Lutz GmbH,Lutz GmbH,Germany,Germany,Dealfront,"bodywear:shapewear,slip,slips",0.9473684210526316,,http
davidgandywellwear.com,Pure Bodywear,0.9444444444444444,David Gandy Wellwear,David Gandy Wellwear,United Kingdom,United Kingdom,FU,"bodywear:underwear,pyjamas,swim",0.9444444444444444,,http
heist-studios.com,Pure Bodywear,0.9444444444444444,HEIST STUDIOS,HEIST STUDIOS,United Kingdom,United Kingdom,HS fairs,"bodywear:underwear,briefs,shapewear,slips",0.9444444444444444,,http
esquisse-lingerie.com,Pure Bodywear,0.9444444444444444,ESQUISSE PARIS,ESQUISSE PARIS,France,France,HS fairs,"bodywear:lingerie,maillots",0.9444444444444444,,http
byebra.com,Pure Bodywear,0.9443661971830986,Bye Bra BV,Bye Bra|Bye Bra B.V.|Bye Bra BV,Netherlands,Netherlands,Body Fashion Trade Fair|HS fairs|e-com retailers,"bodywear:underwear,bras,shapewear;generalist:accessories",0.9443661971830986,,http
lingerielanouvelle.com,Pure Bodywear,0.9434210526315788,La Nouvelle,La Nouvelle,France,France,HS fairs,"bodywear:lingerie,sous-vêtements;generalist:kids",0.9434210526315788,,http
pierrerobert.no,Pure Bodywear,0.9411764705882352,Pierre Robert,Pierre Robert,Norway,Norway,FU,bodywear:boxer,0.9411764705882352,,http
bestform-lingerie.com,Pure Bodywear,0.9411764705882352,BESTFORM,BESTFORM,France,France,Salon,"bodywear:lingerie,soutien-gorge",0.9411764705882352,,http
verdiani.it,Pure Bodywear,0.9411764705882352,VERDIANI,VERDIANI|VERDIANI - DILIAR SRL,Italy,Italy,HS fairs|Salon,"bodywear:nightwear,loungewear",0.9411764705882352,,http
xintima.com,Pure Bodywear,0.9411764705882352,X INTIMA,X INTIMA,,,HS fairs,"bodywear:nightwear,pyjamas,pyjama",0.9411764705882352,,http
coco-de-mer.com,Pure Bodywear,0.9411764705882352,Coco-De-Mer,Coco-De-Mer,United Kingdom,United Kingdom,HS fairs|HS segment,"bodywear:lingerie,bra,bras,nightwear,hosiery",0.9411764705882352,,http
boxerman.de,Pure Bodywear,0.9411764705882352,Boxerman GmbH,Boxerman GmbH,Germany,Germany,HS segment,"bodywear:briefs,trunks,slips,boxershorts,boxer",0.9411764705882352,,http
houseofdesire.com,Pure Bodywear,0.9402777777777778,HOUSE OF DESIRE,HOUSE OF DESIRE,,,HS fairs,"bodywear:lingerie,bra,panties;generalist:accessories",0.9402777777777778,,http
bouxavenue.com,Pure Bodywear,0.9402654867256638,boux-avenue,boux-avenue,United Kingdom,United Kingdom,FU,"bodywear:lingerie,underwear,bra,bras,nightwear;generalist:kids,accessories",0.9402654867256638,,http
eu.triumph.com,Pure Bodywear,0.9385714285714284,,,,,,"bodywear:lingerie,bh,slips;generalist:accessories",0.9385714285714284,,http
triumph.com,Pure Bodywear,0.9385714285714284,Triumph,Triumph|Triumph & sloggi|Triumph International,France,France|Germany|Netherlands,Body Fashion Trade Fair|FU|HS segment|e-com retailers,"bodywear:lingerie,bh,slips;generalist:accessories",0.9385714285714284,,http
jakosportkleding.nl,Pure Bodywear,0.9375,JAKO,JAKO,Netherlands,Netherlands,FU,"bodywear:underwear,sokken",0.9375,,http
21mars.com,Pure Bodywear,0.9375,21 MARS,21 MARS,France,France,Salon,"bodywear:lingerie,sous-vêtements,soutien-gorge,culotte,shorty",0.9375,,http
seliarichwood.com,Pure Bodywear,0.9375,SELIA RICHWOOD,SELIA RICHWOOD,Italy,Italy,HS fairs,"bodywear:lingerie,bras,panties,sleepwear,swimwear",0.9375,,http
charlott.fr,Pure Bodywear,0.9375,Charlott',Charlott',France,France,Dealfront,bodywear:lingerie,0.9375,,http
darjeeling.fr,Pure Bodywear,0.9333333333333332,Darjeeling,Darjeeling,France,France,FU,"bodywear:lingerie,pyjamas,soutien-gorge",0.9333333333333332,,http
tuttirouge.com,Pure Bodywear,0.9333333333333332,Tutti Rouge,Tutti Rouge,United Kingdom,United Kingdom,FU,"bodywear:lingerie,bras,briefs",0.9333333333333332,,http
oroblu.com,Pure Bodywear,0.9333333333333332,Oroblu,Oroblu,Italy,Italy,e-com retailers,"bodywear:slip,intimo,reggiseno",0.9333333333333332,,http
lingadore.com,Pure Bodywear,0.9328125,Mendels Fashion Group - Linga Dore,LingaDore|Mendels Fashion Group|Mendels Fashion Group - Linga Dore,Netherlands,Netherlands,Body Fashion Trade Fair|HS fairs|HS segment|e-com retailers,"bodywear:bra,bras,briefs,swimwear,slips;generalist:accessories",0.9328125,,http
happyshorts.com,Pure Bodywear,0.9285714285714286,HAPPY SHORTS,HAPPY SHORTS,Germany,Germany,FU,"bodywear:trunks,boxershorts,unterwäsche",0.9285714285714286,,http
hunkemoller.dk,Pure Bodywear,0.9282608695652176,Hunkemöller International B.V.,Hunkemöller International B.V.,Netherlands,Netherlands,Dealfront,"bodywear:bodywear,bh;generalist:accessories",0.9282608695652176,,http
lovestoriesintimates.com,Pure Bodywear,0.9266666666666666,Love Stories,GAB86|Love Stories,Netherlands,Belgium|Netherlands,Body Fashion Trade Fair|FU,"bodywear:lingerie,bras,briefs,pyjamas,loungewear;generalist:accessories",0.9266666666666666,,http
lingadore.nl,Pure Bodywear,0.9258333333333334,LingaDore,LINGADORE|LingaDore,Netherlands,Netherlands,FU|Salon,"bodywear:bh,slips,badmode,hipster;generalist:accessoires",0.9258333333333334,,http
underprotection.eu,Pure Bodywear,0.9243333333333332,Underprotection,Underprotection,Denmark,Denmark,FU,"bodywear:lingerie,bras,briefs,panties,pyjamas;generalist:accessories,bags",0.9243333333333332,,http
magicbodyfashion.com,Pure Bodywear,0.9243243243243244,MAGIC BODYFASHION,MAGIC BODYFASHION|Magic Bodyfashion B.V.,Netherlands,Netherlands,Body Fashion Trade Fair|Salon|Supreme Body & Beach,"bodywear:bra,panties,shapewear;generalist:outerwear,beauty",0.9243243243243244,,http
magicbodyfashion.fr,Pure Bodywear,0.9243243243243244,MAGIC BODYFASHION,MAGIC BODYFASHION,,,HS fairs,"bodywear:bra,panties,shapewear;generalist:outerwear,beauty",0.9243243243243244,,http
magicbodyfashion.net,Pure Bodywear,0.9243243243243244,MAGIC Bodyfashion,MAGIC Bodyfashion,Netherlands,Netherlands,HS segment,"bodywear:bra,panties,shapewear;generalist:outerwear,beauty",0.9243243243243244,,http
wunderwear.dk,Pure Bodywear,0.9232142857142858,Wunderwear,Wunderwear,Denmark,Denmark,HS segment,"bodywear:pyjamas,shapewear,loungewear,bh;generalist:sneaker",0.9232142857142858,,http
ceceba.com,Pure Bodywear,0.9230769230769232,ceceba,CECEBA Group GmbH|Ceceba Bodywear GmbH|ceceba,Germany,Germany,Body Fashion Trade Fair|FU|HS segment,"bodywear:pyjamas,loungewear,slips,boxershorts,pyjama",0.9230769230769232,,http
marjolaine.fr,Pure Bodywear,0.9230769230769232,Marjolaine,Marjolaine,France,France,e-com retailers,"bodywear:lingerie,pyjamas,maillots,nuit",0.9230769230769232,,http
stripeandstare.com,Pure Bodywear,0.9195121951219511,Stripe + Stare,Stripe + Stare,United Kingdom,United Kingdom,FU,"bodywear:underwear,bra,bras,knickers,boxers;generalist:bags",0.9195121951219511,,http
hesperfox.com,Pure Bodywear,0.9175,hesper-fox,hesper-fox,United Kingdom,United Kingdom,FU,"bodywear:lingerie,sleepwear,pyjamas,swimwear,slips;generalist:kids",0.9175,,http
ladybelty.com,Pure Bodywear,0.9173076923076924,BELTY,BELTY,Spain,Spain,HS fairs,"bodywear:panties,pyjamas,bikini,thong;generalist:kids",0.9173076923076924,,http
cyell.com,Pure Bodywear,0.9166666666666666,CYELL,CYELL,Netherlands,Netherlands,FU,"bodywear:swimwear,bikini",0.9166666666666666,,http
susa-shop.de,Pure Bodywear,0.9150537634408602,SUSA,SUSA,Germany,Germany,Salon,"bodywear:panties,shapewear,bh,slips;generalist:accessoires",0.9150537634408602,,http
mcalson.com,Pure Bodywear,0.9127450980392156,Agerti NV,Agerti NV|Mc Alson,Belgium,Belgium,Body Fashion Trade Fair|HS segment,"bodywear:briefs,pyjamas,swimwear,swim,boxers;generalist:kids",0.9127450980392156,,http
pierremantoux.com,Pure Bodywear,0.9104166666666668,PIERRE MANTOUX,PIERRE MANTOUX,Italy,Italy,HS fairs|Salon,"bodywear:hosiery,bikini,bodywear;generalist:home",0.9104166666666668,,http
curvykate.com,Pure Bodywear,0.9090909090909092,Curvy Kate,Curvy Kate,United Kingdom,United Kingdom,FU,"bodywear:lingerie,bra,bras,swimwear",0.9090909090909092,,http
inbloom.online,Pure Bodywear,0.9090909090909092,IN BLOOM,IN BLOOM,,,HS fairs,"bodywear:sleepwear,pajamas,loungewear",0.9090909090909092,,http
rjbodywear.com,Pure Bodywear,0.9046218487394958,engelvaart-bodywear-rj-bodywear-beeren-bodywear,engelvaart-bodywear-rj-bodywear-beeren-bodywear,Netherlands,Netherlands,FU,"bodywear:shapewear,ondergoed,slip,slips,boxershorts;generalist:accessoires",0.9046218487394958,,http
etam.com,Pure Bodywear,0.9046218487394958,etam,Etam Lingerie|etam,France,France,Dealfront|HS segment,"bodywear:lingerie,pyjamas,loungewear;generalist:accessoires",0.9046218487394958,,http
lisecharmel.com,Pure Bodywear,0.9022727272727272,Lise Charmel,LISE CHARMEL|Lise Charmel|Lise Charmel Benelux|Lise Charmel Industrie|PARISSIME GMBH,France,Belgium|France|Germany,Body Fashion Trade Fair|Dealfront|FU|Salon|Supreme Body & Beach|e-com retailers,"bodywear:lingerie,bras,briefs,panties,pyjamas;generalist:accessories",0.9022727272727272,,http
carriwell.com,Pure Bodywear,0.9,Carriwell,Carriwell,Denmark,Denmark,FU,"bodywear:bra,panties,swimwear",0.9,,http
madiva.it,Pure Bodywear,0.9,MADIVA,MADIVA,Italy,Italy,HS fairs|Salon,"bodywear:nightwear,intimo",0.9,,http
syversen.com,Pure Bodywear,0.9,SYVERSEN AS,SYVERSEN AS,Norway,Norway,HS segment,bodywear:bikini,0.9,,http
charliechoe.com,Pure Bodywear,0.8988636363636363,Totolino,Totolino,Belgium,Belgium,Body Fashion Trade Fair,"bodywear:nightwear,pyjamas,slip,pyjama;generalist:home,accessories",0.8988636363636363,,http
normann.de,Pure Bodywear,0.896875,Normann Wäschefabrik GmbH,Normann Wäschefabrik GmbH,Germany,Germany,HS segment,"bodywear:pyjamas,slips,pyjama,unterwäsche,nachtwäsche;generalist:kinder",0.896875,,http
isabodywear.ch,Pure Bodywear,0.896875,ISA Sallmann AG,ISA Sallmann AG,Switzerland,Switzerland,HS segment,"bodywear:pyjamas,loungewear,slip,boxershorts,pyjama;generalist:jacken",0.896875,,http
waescheland.com,Pure Bodywear,0.896875,Normann Wäschefabrik GmbH & Co. KG,Normann Wäschefabrik GmbH & Co. KG,Germany,Germany,Dealfront,"bodywear:pyjamas,slips,pyjama,unterwäsche,nachtwäsche;generalist:kinder",0.896875,,http
empreinte.eu,Pure Bodywear,0.8943396226415095,Empreinte,EMPREINTE|EMPREINTE GMBH|Empreinte|Empreinte SA,France,France|Germany,Dealfront|HS fairs|HS segment|Salon|Supreme Body & Beach|e-com retailers,"bodywear:lingerie,bra,bras,loungewear,thong;generalist:home,accessories,maison",0.8943396226415095,,http
redpointbeachwear.com,Pure Bodywear,0.8940476190476191,GUASCH HERMANOS SL,GUASCH HERMANOS SL|Red Point Beachwear,Spain,Spain,HS segment|Supreme Body & Beach,"bodywear:bikini,bañador;generalist:kids",0.8940476190476191,,http
derek-rose.com,Pure Bodywear,0.8925000000000001,DEREK ROSE United,DEREK ROSE United,United Kingdom,United Kingdom,Salon,"bodywear:underwear,briefs,pyjamas,swim,trunks;generalist:jackets",0.8925000000000001,,http
leonisa.eu,Pure Bodywear,0.8888888888888888,LEONISA,LEONISA,Spain,Spain,HS fairs,"bodywear:lingerie,underwear,ropa interior",0.8888888888888888,,http
lisca.si,Pure Bodywear,0.8888888888888888,Lisca,Lisca,Slovenia,Slovenia,HS segment,"bodywear:briefs,string",0.8888888888888888,,http
timoteo.net,Pure Bodywear,0.8888888888888888,TIMOTEO,TIMOTEO,Belgium,Belgium,Dealfront,"bodywear:underwear,briefs,swimwear,swim,trunks",0.8888888888888888,,http
lingerielechat.com,Pure Bodywear,0.8862068965517241,LE CHAT,LE CHAT|Le Chat,France,France,HS fairs|Salon,"bodywear:nightwear,pyjamas,loungewear,pyjama;generalist:jackets",0.8862068965517241,,http
conzelmann.de,Pure Bodywear,0.8821428571428572,Karl Conzelmann GmbH + Co. KG,Karl Conzelmann GmbH + Co. KG,Germany,Germany,HS segment,"bodywear:loungewear,bh,slips,string,hipster;generalist:home",0.8821428571428572,,http
ninavonc.de,Pure Bodywear,0.8821428571428572,NINA VON C.,Karl Conzelmann GmbH & Co. KG|NINA VON C.,Germany,Germany,Dealfront|Supreme Body & Beach,"bodywear:loungewear,bh,slips,string,hipster;generalist:home",0.8821428571428572,,http
hunkemoller.com,Pure Bodywear,0.8808510638297872,Hunkemöller,Hunkemoller|Hunkemöller|Hunkemöller International B.V.,Netherlands,Netherlands,Dealfront|HS segment|e-com retailers,"bodywear:lingerie,bra,bras,nightwear,bodywear;generalist:home,accessories",0.8808510638297872,,http
floralastraioli.com,Pure Bodywear,0.875,FLORA LASTRAIOLI,FLORA LASTRAIOLI,Italy,Italy,HS fairs|Salon,"bodywear:lingerie,underwear,nightwear",0.875,,http
passionata.com,Pure Bodywear,0.875,Passionata,Passionata,France,France,e-com retailers,"bodywear:lingerie,loungewear",0.875,,http
erlich-textil.de,Pure Bodywear,0.875,Vorfreude GmbH,Vorfreude GmbH,Germany,Germany,HS segment,"bodywear:unterwäsche,nachtwäsche",0.875,,http
frankdandy.com,Pure Bodywear,0.8691176470588236,frank-dandy,Frank Dandy AB|frank-dandy,Sweden,Sweden,FU|HS segment,"bodywear:underwear,bras,panties,swim,undies;generalist:kids",0.8691176470588236,,http
lisca.de,Pure Bodywear,0.8691176470588236,Lisca Group Deutschland GmbH,Lisca Group Deutschland GmbH,Germany,Germany,HS segment,"bodywear:briefs,bh,slip,slips,string;generalist:accessoires",0.8691176470588236,,http
escora-dessous.de,Pure Bodywear,0.8657894736842104,Escora,Escora|Escora Lingerie,Germany,Germany,FU|HS segment,"bodywear:shapewear,loungewear,bh,slip,slips;generalist:accessoires,mäntel,taschen",0.8657894736842104,,firecrawl
benibeca.com,Pure Bodywear,0.8571428571428571,Benibeca,Benibeca,Spain,Spain,FU,bodywear:swim,0.8571428571428571,,http
sassa.eu,Pure Bodywear,0.8571428571428571,SASSA MODE,SASSA MODE,Germany,Germany,Salon,"bodywear:panties,loungewear,slips,unterwäsche,bademode",0.8571428571428571,,http
swedishstockings.com,Pure Bodywear,0.8571428571428571,SWEDISH STOCKINGS,SWEDISH STOCKINGS|Swedish Stocking AB,Sweden,Sweden,HS segment|Salon,bodywear:shapewear,0.8571428571428571,,http
chantylace.com,Pure Bodywear,0.8571428571428571,CHANTY LACE,CHANTY LACE,Germany,Germany,HS fairs,"bodywear:lingerie,briefs",0.8571428571428571,,http
sassamode.com,Pure Bodywear,0.8571428571428571,SASsa Mode GmbH,SASsa Mode GmbH,Germany,Germany,Dealfront|HS fairs|HS segment,"bodywear:panties,loungewear,slips,unterwäsche,bademode",0.8571428571428571,,http
zetex.nl,Pure Bodywear,0.8571428571428571,Zetex B.V.,ZETEX BODY FAVOURITES|Zetex B.V.,Netherlands,Netherlands,HS fairs|HS segment|Supreme Body & Beach,"bodywear:badmode,pyjama",0.8571428571428571,,http
achieveprime.com,Pure Bodywear,0.8571428571428571,Achieve Prime,Achieve Prime,Germany,Germany,HS segment,bodywear:bh,0.8571428571428571,,http
