domain,label,confidence,brand_name_primary,brand_names_all,country_primary,countries_all,sources,classification_reasons,text_score,vision_score,stage_used
zoeleggings.com,Bodywear Leaning,0.5,Zoe Leggings,Zoe Leggings,Croatia,Croatia,FU,"bodywear:underwear,bra,bras,swimwear;generalist:jackets,accessories,bags;vision_screenshot:0.15",0.44375,0.15,http+vision
en.le-petit-trou.com,Bodywear Leaning,0.5,,,,,,"bodywear:lingerie,bra,bras,briefs;generalist:jackets,shoes,accessories;vision_screenshot:0.00",0.6266666666666666,0.0,http+vision
lousylivin.com,Bodywear Leaning,0.5,lousy-livin-underwear,lousy-livin-underwear,Germany,Germany,FU,"bodywear:trunks,boxershorts;generalist:home;vision_screenshot:0.05",0.6705882352941177,0.05,http+vision
moostwanted.com,Bodywear Leaning,0.5,moost-wanted,moost-wanted,Netherlands,Netherlands,FU,"bodywear:lingerie;generalist:jackets,accessories,bags;vision_screenshot:0.15",0.6266666666666666,0.15,http+vision
sunspel.com,Bodywear Leaning,0.5,sunspel,Sunspel Limited|sunspel,United Kingdom,United Kingdom,Dealfront|FU,"bodywear:underwear,briefs,sleepwear,swimwear,loungewear;generalist:coats,jackets,shoes;vision_screenshot:0.10",0.5535714285714285,0.1,http+vision
bojibojiboji.com,Bodywear Leaning,0.5,BOJI,BOJI,France,France,Salon,"bodywear:boxers,boxer,sous-vêtements,culotte;generalist:home;vision_screenshot:0.00",0.7666666666666666,0.0,http+vision
coastalreef.fr,Bodywear Leaning,0.5,COASTAL REEF,COASTAL REEF,France,France,Salon,bodywear:maillots;vision_screenshot:0.10,0.6666666666666666,0.1,http+vision
massana.es,Bodywear Leaning,0.5,MASSANA,MASSANA,Spain,Spain,Salon,"bodywear:underwear,boxers,slips;generalist:home,casa;vision_screenshot:0.30",0.44375,0.3,http+vision
odetteancel.net,Bodywear Leaning,0.5,ODETTE ANCEL PARIS,ODETTE ANCEL PARIS,France,France,Salon,bodywear:bikini;generalist:home;vision_screenshot:0.00,0.6576923076923077,0.0,http+vision
talc-paris.fr,Bodywear Leaning,0.5,TALC,TALC,France,France,Salon,bodywear:pyjamas;generalist:maison;vision_screenshot:0.00,0.5285714285714286,0.0,http+vision
yellamaris.de,Bodywear Leaning,0.5,YELLAMARIS,YELLAMARIS|Yellamaris GmbH,Germany,Germany,HS fairs|Salon,bodywear:pyjama;generalist:home;vision_screenshot:0.00,0.5285714285714286,0.0,http+vision
