domain,label,confidence,text_score,vision_score,reasons,image_count,error,started_at,finished_at,stage_used,nav_count,heading_count
untouchedunderwear.com,Bodywear Leaning,0.5,0.7461538461538462,0.0,"bodywear:boxers,thong,boxershorts,boxer,hipster;generalist:home;vision_screenshot:0.00",1,,2025-11-07T12:57:01.628878,2025-11-07T12:57:07.445583,http+vision,38,8
vivemaria.de,Bodywear Leaning,0.5,0.5236842105263159,0.0,"bodywear:panties,pyjamas,slips;generalist:home,mäntel,jacken;vision_screenshot:0.00",1,,2025-11-07T12:57:07.768455,2025-11-07T12:57:12.441150,http+vision,69,8
vanguard-clothing.com,Generalist,1.0,0.0,,"generalist:denim,jeans,outerwear",0,,2025-11-07T12:57:12.775101,2025-11-07T12:57:13.384689,http,53,10
versace.com,Error,0.0,,,,0,Firecrawl API error: 408,2025-11-07T12:57:13.668938,2025-11-07T12:58:45.252738,,0,0
viadigioia.nl,Bodywear Leaning,0.675,0.5,0.85,bodywear:swimwear;vision_screenshot:0.85,1,,2025-11-07T12:58:45.960270,2025-11-07T12:58:55.389193,http+vision,55,10
viktor-rolf.com,Generalist,1.0,0.0,,"generalist:denim,outerwear,accessories",0,,2025-11-07T12:58:55.731270,2025-11-07T12:58:56.483123,http,48,2
vilebrequin.com,Generalist,0.91,0.0,0.1,vision_screenshot:0.10;text_extraction_failed,1,,2025-11-07T12:58:56.749589,2025-11-07T12:59:59.451347,playwright,0,0
wallien.com,Bodywear Leaning,0.5895833333333333,0.6291666666666667,0.55,"bodywear:swimwear,swim;generalist:accessories;vision_screenshot:0.55",1,,2025-11-07T12:59:59.940934,2025-11-07T13:00:08.415184,http+vision,95,9
wauwcapow.com,Generalist,1.0,0.0,,"bodywear:swimwear;generalist:jackets,baby,accessories",0,,2025-11-07T13:00:08.764238,2025-11-07T13:00:09.832146,http,32,9
woronstore.com,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T13:00:10.115038,2025-11-07T13:00:20.866076,playwright,0,0
worst-behavior.com,Generalist,1.0,0.0,,"bodywear:underwear;generalist:denim,jackets,accessoires",0,,2025-11-07T13:00:21.214809,2025-11-07T13:00:21.560914,http,35,1
watercult.com,Generalist,0.9272727272727272,0.0727272727272727,,"bodywear:swimwear;generalist:accessories,accessoires",0,,2025-11-07T13:00:21.895695,2025-11-07T13:00:22.547388,http,27,1
wesc.com,Generalist,1.0,0.0,,"generalist:denim,jackets,accessories",0,,2025-11-07T13:00:22.837421,2025-11-07T13:00:23.355976,http,59,7
weirdfish.co.uk,Generalist,1.0,0.0,,"generalist:jeans,coats,jackets",0,,2025-11-07T13:00:23.637242,2025-11-07T13:00:24.299734,http,141,9
whitestuff.com,Generalist,0.97,0.03,,"bodywear:nightwear,swimwear;generalist:jeans,coats,jackets",0,,2025-11-07T13:00:24.613370,2025-11-07T13:00:25.417194,http,49,9
wolford.com,Bodywear Leaning,0.675,0.0,0.75,vision_screenshot:0.75;text_extraction_failed,1,,2025-11-07T13:00:25.742058,2025-11-07T13:00:42.700563,playwright,0,0
xsocks.nl,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T13:00:43.084196,2025-11-07T13:00:51.311334,playwright,0,0
xpooos.com,Generalist,0.865,0.0,0.15,vision_screenshot:0.15;text_extraction_failed,1,,2025-11-07T13:00:51.670537,2025-11-07T13:00:56.941115,playwright,0,0
y-a-s.com,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T13:00:57.252738,2025-11-07T13:01:03.600302,playwright,0,0
yogasearcher.com,Generalist,0.91,0.0,0.1,vision_screenshot:0.10;text_extraction_failed,1,,2025-11-07T13:01:03.957483,2025-11-07T13:01:12.981392,playwright,0,0
yse-paris.com,Pure Bodywear,0.765,0.0,0.85,vision_screenshot:0.85;text_extraction_failed,1,,2025-11-07T13:01:13.320373,2025-11-07T13:01:25.518387,playwright,0,0
zadigetvoltaire.com,Generalist,0.91,0.0,0.1,vision_screenshot:0.10;text_extraction_failed,1,,2025-11-07T13:01:25.876086,2025-11-07T13:01:38.917023,playwright,0,0
zilch.nl,Generalist,1.0,0.0,,"generalist:jassen,accessoires",0,,2025-11-07T13:01:39.254780,2025-11-07T13:01:40.168894,http,73,4
zoeleggings.com,Bodywear Leaning,0.5,0.44375,0.15,"bodywear:underwear,bra,bras,swimwear;generalist:jackets,accessories,bags;vision_screenshot:0.15",1,,2025-11-07T13:01:40.437425,2025-11-07T13:01:50.086522,http+vision,48,10
zumo-international.com,Generalist,0.9272727272727272,0.0727272727272727,,"bodywear:underwear,swimwear;generalist:jeans,jackets,shoes",0,,2025-11-07T13:01:50.405675,2025-11-07T13:01:51.333723,http,39,4
a-dam.com,Generalist,1.0,0.0,,,0,,2025-11-07T13:01:51.600657,2025-11-07T13:01:52.521488,http,5,6
allskinwear.com,Generalist,1.0,0.0,,,0,,2025-11-07T13:01:52.791694,2025-11-07T13:02:25.497362,firecrawl,0,1
nl.americanvintage-store.com,Generalist,1.0,0.0,,"bodywear:sokken;generalist:denim,jeans,jassen",0,,2025-11-07T13:02:25.979218,2025-11-07T13:02:27.168041,http,100,1
anita.com,Pure Bodywear,0.765,0.0,0.85,vision_screenshot:0.85;text_extraction_failed,1,,2025-11-07T13:02:27.451650,2025-11-07T13:02:31.007805,playwright,0,0
annadiva.nl,Pure Bodywear,0.9585185185185184,0.9585185185185184,,"bodywear:lingerie,swim,bikini,ondergoed,bh;generalist:accessoires,sieraden",0,,2025-11-07T13:02:31.332518,2025-11-07T13:02:31.897738,http,62,2
bikbok.com,Generalist,0.865,0.0,0.15,vision_screenshot:0.15;text_extraction_failed,1,,2025-11-07T13:02:32.182894,2025-11-07T13:02:36.172954,playwright,0,0
bikkembergs.com,Generalist,0.813719512195122,0.2725609756097561,0.1,"bodywear:underwear,boxers,slip,slips;generalist:jeans,outerwear,jackets;vision_screenshot:0.10",1,,2025-11-07T13:02:36.490712,2025-11-07T13:02:42.784349,http+vision,148,5
bouxavenue.com,Pure Bodywear,0.9402654867256638,0.9402654867256638,,"bodywear:lingerie,underwear,bra,bras,nightwear;generalist:kids,accessories",0,,2025-11-07T13:02:43.267994,2025-11-07T13:03:04.493204,http,92,4
bric-a-brac.se,Generalist,0.9426470588235294,0.0573529411764706,,"bodywear:underwear;generalist:coats,jackets,home",0,,2025-11-07T13:03:04.947445,2025-11-07T13:03:05.415049,http,120,8
brunobanani.com,Pure Bodywear,0.8263157894736841,0.8263157894736841,,"bodywear:panties,slips,boxershorts,unterwäsche,bademode;generalist:beauty",0,,2025-11-07T13:03:05.689391,2025-11-07T13:03:06.062735,http,53,5
cabaia.fr,Generalist,1.0,0.0,,generalist:sacs,0,,2025-11-07T13:03:06.327499,2025-11-07T13:03:07.173727,http,22,3
calida.com,Pure Bodywear,0.9791666666666666,0.9791666666666666,,"bodywear:underwear,bra,bras,briefs,nightwear",0,,2025-11-07T13:03:07.435455,2025-11-07T13:03:08.198057,http,97,5
casall.com,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T13:03:08.469858,2025-11-07T13:03:11.479669,playwright,0,0
ceceba.com,Pure Bodywear,0.9230769230769232,0.9230769230769232,,"bodywear:pyjamas,loungewear,slips,boxershorts,pyjama",0,,2025-11-07T13:03:11.932992,2025-11-07T13:03:12.506628,http,52,10
celio.com,Generalist,1.0,0.0,,"bodywear:sous-vêtements;generalist:denim,jeans,manteaux",0,,2025-11-07T13:03:12.794391,2025-11-07T13:03:13.686978,http,147,7
chantelle.com,Generalist,0.91,0.0,0.1,vision_screenshot:0.10;text_extraction_failed,1,,2025-11-07T13:03:13.983669,2025-11-07T13:03:17.238170,playwright,0,0
cosmogonieparis.com,Generalist,1.0,0.0,,generalist:home,0,,2025-11-07T13:03:18.046296,2025-11-07T13:03:20.181644,http,12,10
craghoppers.com,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T13:03:20.531464,2025-11-07T13:03:25.205213,playwright,0,0
trans-missie.nl,Error,0.0,,,,0,Firecrawl API error: 408,2025-11-07T13:03:25.522645,2025-11-07T13:07:48.567679,,0,0
drykorn.com,Generalist,1.0,0.0,,"generalist:denim,jeans,coats",0,,2025-11-07T13:07:49.072068,2025-11-07T13:07:49.824900,http,53,9
ebbekids.com,Generalist,1.0,0.0,,generalist:baby,0,,2025-11-07T13:07:50.082129,2025-11-07T13:07:51.759803,http,47,8
rjbodywear.com,Pure Bodywear,0.9046218487394958,0.9046218487394958,,"bodywear:shapewear,ondergoed,slip,slips,boxershorts;generalist:accessoires",0,,2025-11-07T13:07:52.072151,2025-11-07T13:07:52.686062,http,148,0
erve.shop,Generalist,0.91,0.0,0.1,vision_screenshot:0.10;text_extraction_failed,1,,2025-11-07T13:07:52.982083,2025-11-07T13:08:03.021404,playwright,0,0
esprit.com,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T13:08:03.383400,2025-11-07T13:08:10.844237,playwright,0,0
fantasie.com,Pure Bodywear,0.9723602484472048,0.9723602484472048,,"bodywear:lingerie,underwear,bras,nightwear,swimwear;generalist:accessories",0,,2025-11-07T13:08:11.228742,2025-11-07T13:08:13.374263,http,149,10
figaret.com,Generalist,0.8928571428571429,0.1071428571428571,,"bodywear:pyjamas;generalist:accessoires,manteaux,vestes",0,,2025-11-07T13:08:13.650621,2025-11-07T13:08:14.525193,http,104,10
filippa-k.com,Generalist,1.0,0.0,,"generalist:jeans,coats,jackets",0,,2025-11-07T13:08:14.804849,2025-11-07T13:08:16.001770,http,125,2
frankdandy.com,Pure Bodywear,0.8691176470588236,0.8691176470588236,,"bodywear:underwear,bras,panties,swim,undies;generalist:kids",0,,2025-11-07T13:08:16.276795,2025-11-07T13:08:16.594142,http,103,4
ginatricot.com,Generalist,1.0,0.0,,"generalist:jassen,tassen",0,,2025-11-07T13:08:16.880467,2025-11-07T13:08:17.671044,http,33,7
gossard.com,Pure Bodywear,0.855,0.0,0.95,vision_screenshot:0.95;text_extraction_failed,1,,2025-11-07T13:08:18.138241,2025-11-07T13:08:26.118525,playwright,0,0
goetzburg.com,Pure Bodywear,0.7200000000000001,0.0,0.8,vision_screenshot:0.80;text_extraction_failed,1,,2025-11-07T13:08:26.460716,2025-11-07T13:08:33.911028,playwright,0,0
happysocks.com,Generalist,0.91,0.0,0.1,vision_screenshot:0.10;text_extraction_failed,1,,2025-11-07T13:08:34.214758,2025-11-07T13:08:40.507301,playwright,0,0
hesperfox.com,Pure Bodywear,0.9175,0.9175,,"bodywear:lingerie,sleepwear,pyjamas,swimwear,slips;generalist:kids",0,,2025-11-07T13:08:40.913905,2025-11-07T13:08:41.496201,http,56,8
hufworldwide.eu,Generalist,0.91,0.0,0.1,vision_screenshot:0.10;text_extraction_failed,1,,2025-11-07T13:08:41.807024,2025-11-07T13:08:51.877063,playwright,0,0
hummelfashion.com,Generalist,1.0,0.0,,"bodywear:underwear,swimwear;generalist:jackets,shoes,sneakers",0,,2025-11-07T13:08:52.206530,2025-11-07T13:08:53.417117,http,148,5
ironheart.co.uk,Generalist,1.0,0.0,,"generalist:denim,jackets,footwear",0,,2025-11-07T13:08:53.723975,2025-11-07T13:08:56.777917,http,67,6
jockey.de,Pure Bodywear,0.9523809523809524,0.9523809523809524,,"bodywear:bras,briefs,boxers,trunks,boxer",0,,2025-11-07T13:08:57.086802,2025-11-07T13:08:57.805299,http,54,9
karl-rieker-online-shop.de,Generalist,1.0,0.0,,,0,,2025-11-07T13:08:58.067079,2025-11-07T13:09:00.834627,http,10,10
lndr.uk,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T13:09:01.108963,2025-11-07T13:09:08.480050,playwright,0,0
en.le-petit-trou.com,Bodywear Leaning,0.5,0.6266666666666666,0.0,"bodywear:lingerie,bra,bras,briefs;generalist:jackets,shoes,accessories;vision_screenshot:0.00",1,,2025-11-07T13:09:08.795697,2025-11-07T13:09:13.957019,http+vision,43,9
int.li-vy.com,Pure Bodywear,0.753030303030303,0.6560606060606061,0.85,"bodywear:lingerie,swimwear;generalist:accessoires;vision_screenshot:0.85",1,,2025-11-07T13:09:14.267044,2025-11-07T13:09:25.169548,http+vision,58,1
loeffler.at,Generalist,1.0,0.0,,"bodywear:underwear;generalist:jackets,accessoires",0,,2025-11-07T13:09:25.681250,2025-11-07T13:09:26.659470,http,144,7
lousylivin.com,Bodywear Leaning,0.5,0.6705882352941177,0.05,"bodywear:trunks,boxershorts;generalist:home;vision_screenshot:0.05",1,,2025-11-07T13:09:27.031529,2025-11-07T13:09:35.219719,http+vision,40,10
maison-close.com,Pure Bodywear,0.78359375,0.7171875,0.85,"bodywear:lingerie,bras,panties,thong,boxer;generalist:accessories,jewelry,maison;vision_screenshot:0.85",1,,2025-11-07T13:09:35.673924,2025-11-07T13:09:42.108193,http+vision,150,9
marcmarcs.com,Bodywear Leaning,0.5850000000000001,0.0,0.65,vision_screenshot:0.65;text_extraction_failed,1,,2025-11-07T13:09:42.459289,2025-11-07T13:09:48.373895,playwright,0,0
mey.com,Pure Bodywear,0.765,0.0,0.85,vision_screenshot:0.85;text_extraction_failed,1,,2025-11-07T13:09:48.695642,2025-11-07T13:09:52.534464,playwright,0,0
millet-mountain.com,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T13:09:52.838297,2025-11-07T13:09:56.791267,playwright,0,0
missguided.co.uk,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T13:09:57.106309,2025-11-07T13:10:04.684366,playwright,0,0
moostwanted.com,Bodywear Leaning,0.5,0.6266666666666666,0.15,"bodywear:lingerie;generalist:jackets,accessories,bags;vision_screenshot:0.15",1,,2025-11-07T13:10:04.984049,2025-11-07T13:10:15.049961,http+vision,35,10
morotai.de,Generalist,0.8217391304347826,0.3565217391304348,0.0,"bodywear:underwear,bras,swimwear;generalist:jackets,accessories;vision_screenshot:0.00",1,,2025-11-07T13:10:15.404247,2025-11-07T13:10:29.650439,http+vision,100,9
nicceclothing.com,Generalist,0.9642857142857144,0.0357142857142857,,"bodywear:underwear;generalist:coats,jackets,accessories",0,,2025-11-07T13:10:30.034945,2025-11-07T13:10:31.144252,http,57,4
occidente.fr,Pure Bodywear,0.8333333333333334,0.8333333333333334,,bodywear:lingerie,0,,2025-11-07T13:10:31.434727,2025-11-07T13:10:33.036364,http,35,9
odlo.com,Generalist,0.91,0.0,0.1,vision_screenshot:0.10;text_extraction_failed,1,,2025-11-07T13:10:33.298309,2025-11-07T13:10:42.157640,playwright,0,0
organicbasics.com,Pure Bodywear,0.8225806451612903,0.7451612903225806,0.9,"bodywear:underwear,bras,pyjamas,swimwear,loungewear;generalist:accessories;vision_screenshot:0.90",1,,2025-11-07T13:10:42.490655,2025-11-07T13:10:52.123078,http+vision,149,9
peopletree.co.uk,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T13:10:52.514680,2025-11-07T13:10:56.070972,playwright,0,0
pinnedbyk.com,Generalist,1.0,0.0,,"bodywear:sokken;generalist:jassen,accessoires,tassen",0,,2025-11-07T13:10:56.398318,2025-11-07T13:10:57.173131,http,85,8
playfulpromises.com,Pure Bodywear,0.9868098159509202,0.9868098159509202,,"bodywear:lingerie,underwear,bra,bras,briefs;generalist:outerwear",0,,2025-11-07T13:10:57.471814,2025-11-07T13:10:59.124278,http,95,7
positiveoutlookclothing.com,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T13:10:59.409518,2025-11-07T13:11:08.600912,playwright,0,0
pourmoi.co.uk,Pure Bodywear,0.9857615894039736,0.9857615894039736,,"bodywear:lingerie,bras,nightwear,shapewear,hosiery;generalist:outerwear",0,,2025-11-07T13:11:08.971933,2025-11-07T13:11:10.112170,http,95,10
prettypolly.co.uk,Pure Bodywear,0.9787234042553192,0.9787234042553192,,"bodywear:lingerie,shapewear,hosiery",0,,2025-11-07T13:11:10.365211,2025-11-07T13:11:11.087055,http,100,10
rondorff.com,Generalist,0.91,0.0,0.1,vision_screenshot:0.10;text_extraction_failed,1,,2025-11-07T13:11:11.361292,2025-11-07T13:11:29.468745,playwright,0,0
simone-perele.com,Pure Bodywear,0.9638211382113822,0.9638211382113822,,"bodywear:lingerie,bras,panties,nightwear,shapewear;generalist:accessories",0,,2025-11-07T13:11:29.846445,2025-11-07T13:11:30.406280,http,144,8
sapph.com,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T13:11:30.672713,2025-11-07T13:11:39.413546,playwright,0,0
armorlux.com,Generalist,0.8894736842105263,0.2210526315789473,0.0,"bodywear:sous-vêtements,nuit;generalist:accessoires,bébé;vision_screenshot:0.00",1,,2025-11-07T13:11:39.838544,2025-11-07T13:11:45.068020,http+vision,52,1
bonton.fr,Generalist,1.0,0.0,,"bodywear:pyjamas;generalist:denim,accessoires,manteaux",0,,2025-11-07T13:11:45.517535,2025-11-07T13:11:47.035302,http,150,10
sunspel.com,Bodywear Leaning,0.5,0.5535714285714285,0.1,"bodywear:underwear,briefs,sleepwear,swimwear,loungewear;generalist:coats,jackets,shoes;vision_screenshot:0.10",1,,2025-11-07T13:11:47.429231,2025-11-07T13:11:54.392678,http+vision,59,10
superrebel.com,Generalist,0.91,0.0,0.1,vision_screenshot:0.10;text_extraction_failed,1,,2025-11-07T13:11:54.766336,2025-11-07T13:12:02.175425,playwright,0,0
tencate1952.com,Pure Bodywear,0.828030303030303,0.828030303030303,,"bodywear:shapewear,bikini,ondergoed,bh,slips;generalist:kinderen,accessoires,kinder",0,,2025-11-07T13:12:02.551314,2025-11-07T13:12:03.245404,http,101,1
tiffosi.com,Generalist,1.0,0.0,,"generalist:denim,jeans,jackets",0,,2025-11-07T13:12:03.520854,2025-11-07T13:12:05.827272,http,67,5
triumph-jo.com,Pure Bodywear,0.9878048780487804,0.9878048780487804,,"bodywear:bra,bras,briefs,shapewear,swimwear",0,,2025-11-07T13:12:06.107965,2025-11-07T13:12:06.506007,http,119,10
twisttango.com,Generalist,1.0,0.0,,,0,,2025-11-07T13:12:06.757809,2025-11-07T13:12:07.605337,http,8,10
undiz.com,Pure Bodywear,0.95,0.95,,"bodywear:lingerie,pyjamas;generalist:accessoires",0,,2025-11-07T13:12:07.880694,2025-11-07T13:12:08.446779,http,97,4
vertere-berlin.com,Generalist,1.0,0.0,,"generalist:jackets,accessories",0,,2025-11-07T13:12:08.735163,2025-11-07T13:12:09.786219,http,94,9
jungfeld.com,Generalist,1.0,0.0,,,0,,2025-11-07T13:12:10.070110,2025-11-07T13:12:11.964217,http,14,9
wahts.com,Generalist,0.91,0.0,0.1,vision_screenshot:0.10;text_extraction_failed,1,,2025-11-07T13:12:12.242732,2025-11-07T13:12:22.420340,playwright,0,0
whynotbrand.com,Generalist,1.0,0.0,,"bodywear:costumi;generalist:jeans,giacche,scarpe",0,,2025-11-07T13:12:22.865611,2025-11-07T13:12:23.557680,http,27,9
wolfandwhistle.co.uk,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T13:12:23.892385,2025-11-07T13:12:26.333151,playwright,0,0
wolflingerie.com,Pure Bodywear,0.9523809523809524,0.9523809523809524,,bodywear:lingerie,0,,2025-11-07T13:12:26.621824,2025-11-07T13:12:27.410022,http,24,7
youmustcreate.com,Generalist,1.0,0.0,,"generalist:denim,outerwear,shoes",0,,2025-11-07T13:12:27.699979,2025-11-07T13:12:28.936984,http,46,10
21mars.com,Pure Bodywear,0.9375,0.9375,,"bodywear:lingerie,sous-vêtements,soutien-gorge,culotte,shorty",0,,2025-11-07T13:12:29.204513,2025-11-07T13:12:30.422408,http,68,10
acquadicocco.com,Pure Bodywear,0.7871621621621622,0.7243243243243244,0.85,"bodywear:swimwear,bikini,costumi;generalist:home,accessori,borse;vision_screenshot:0.85",1,,2025-11-07T13:12:30.711784,2025-11-07T13:12:38.100981,http+vision,62,0
annettelingerie.it,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T13:12:38.447549,2025-11-07T13:12:40.681586,playwright,0,0
antigel.com,Pure Bodywear,0.81,0.0,0.9,vision_screenshot:0.90;text_extraction_failed,1,,2025-11-07T13:12:41.039957,2025-11-07T13:12:46.701539,playwright,0,0
apps.apple.com,Generalist,1.0,0.0,,,0,,2025-11-07T13:12:47.066705,2025-11-07T13:12:47.405160,http,19,10
aubade.com,Pure Bodywear,0.81,0.0,0.9,vision_screenshot:0.90;text_extraction_failed,1,,2025-11-07T13:12:47.709955,2025-11-07T13:12:52.124298,playwright,0,0
bestform-lingerie.com,Pure Bodywear,0.9411764705882352,0.9411764705882352,,"bodywear:lingerie,soutien-gorge",0,,2025-11-07T13:12:52.520100,2025-11-07T13:12:53.444256,http,14,10
boglietti.it,Bodywear Leaning,0.5850000000000001,0.0,0.65,vision_screenshot:0.65;text_extraction_failed,1,,2025-11-07T13:12:53.755250,2025-11-07T13:13:01.102788,playwright,0,0
bojibojiboji.com,Bodywear Leaning,0.5,0.7666666666666666,0.0,"bodywear:boxers,boxer,sous-vêtements,culotte;generalist:home;vision_screenshot:0.00",1,,2025-11-07T13:13:01.421289,2025-11-07T13:13:06.799476,http+vision,27,9
byebra.eu,Pure Bodywear,0.765,0.0,0.85,vision_screenshot:0.85;text_extraction_failed,1,,2025-11-07T13:13:07.079071,2025-11-07T13:13:17.707265,playwright,0,0
shop.carlross.de,Generalist,1.0,0.0,,,0,,2025-11-07T13:13:18.449531,2025-11-07T13:13:18.861278,http,142,2
carvaro.it,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T13:13:19.142944,2025-11-07T13:13:23.149229,playwright,0,0
clara-intimo.it,Bodywear Leaning,0.675,0.5,0.85,bodywear:intimo;vision_screenshot:0.85,1,,2025-11-07T13:13:23.510008,2025-11-07T13:13:31.634257,http+vision,34,10
clararossi.com,Generalist,1.0,0.0,,generalist:home,0,,2025-11-07T13:13:31.955238,2025-11-07T13:13:34.163808,http,30,4
coastalreef.fr,Bodywear Leaning,0.5,0.6666666666666666,0.1,bodywear:maillots;vision_screenshot:0.10,1,,2025-11-07T13:13:34.506612,2025-11-07T13:13:40.116797,http+vision,60,9
lingeriebycoco.com,Pure Bodywear,0.947560975609756,0.947560975609756,,"bodywear:lingerie,bra,panties,loungewear;generalist:accessories",0,,2025-11-07T13:13:40.422041,2025-11-07T13:13:41.228708,http,27,8
comtessa.de,Generalist,1.0,0.0,,,0,,2025-11-07T13:13:41.570927,2025-11-07T13:13:46.446470,http,12,3
cyberjammies.com,Pure Bodywear,0.8423611111111111,0.8423611111111111,,"bodywear:underwear,nightwear,pyjamas,loungewear,pyjama;generalist:kids,accessories",0,,2025-11-07T13:13:46.750075,2025-11-07T13:13:48.828014,http,105,10
derek-rose.com,Pure Bodywear,0.8925000000000001,0.8925000000000001,,"bodywear:underwear,briefs,pyjamas,swim,trunks;generalist:jackets",0,,2025-11-07T13:13:49.151240,2025-11-07T13:13:50.993263,http,50,9
d-nu-d.com,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T13:13:51.295366,2025-11-07T13:13:53.827422,playwright,0,0
dot76.it,Pure Bodywear,0.9523809523809524,0.9523809523809524,,bodywear:lingerie,0,,2025-11-07T13:13:54.165320,2025-11-07T13:13:55.371077,http,117,8
empreinte.eu,Pure Bodywear,0.8943396226415095,0.8943396226415095,,"bodywear:lingerie,bra,bras,loungewear,thong;generalist:home,accessories,maison",0,,2025-11-07T13:13:55.724235,2025-11-07T13:13:56.747959,http,50,8
wacoal-europe.com,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T13:13:57.102580,2025-11-07T13:14:05.068203,playwright,0,0
femfour.com,Bodywear Leaning,0.5071428571428571,0.3642857142857142,0.65,bodywear:bikini;generalist:home;vision_screenshot:0.65,1,,2025-11-07T13:14:05.451612,2025-11-07T13:14:12.427285,http+vision,21,7
fidalingerie.it,Bodywear Leaning,0.5596153846153846,0.5692307692307692,0.55,bodywear:slip;generalist:home;vision_screenshot:0.55,1,,2025-11-07T13:14:12.758823,2025-11-07T13:14:17.041157,http+vision,29,8
fila.de,Generalist,0.91,0.0,0.1,vision_screenshot:0.10;text_extraction_failed,1,,2025-11-07T13:14:17.361068,2025-11-07T13:14:31.153472,playwright,0,0
fleurofengland.com,Pure Bodywear,0.9552,0.9552,,"bodywear:lingerie,bras,briefs,nightwear,hosiery;generalist:accessories",0,,2025-11-07T13:14:31.545117,2025-11-07T13:14:35.751407,http,93,7
floralastraioli.com,Pure Bodywear,0.875,0.875,,"bodywear:lingerie,underwear,nightwear",0,,2025-11-07T13:14:36.047130,2025-11-07T13:14:39.062814,http,14,9
fraly.it,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T13:14:39.433866,2025-11-07T13:14:42.489465,playwright,0,0
girardi.net,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T13:14:42.796916,2025-11-07T13:14:52.304143,playwright,0,0
goldenhourlingerie.com,Pure Bodywear,0.9583333333333334,0.9583333333333334,,"bodywear:lingerie,soutien-gorge,culotte",0,,2025-11-07T13:14:52.672665,2025-11-07T13:14:53.725300,http,26,7
happy-undies.com,Pure Bodywear,0.8333333333333334,0.8333333333333334,,"bodywear:undies,string",0,,2025-11-07T13:14:54.027293,2025-11-07T13:14:54.845324,http,37,7
homers.es,Generalist,0.82,0.0,0.2,vision_screenshot:0.20;text_extraction_failed,1,,2025-11-07T13:14:55.132105,2025-11-07T13:15:04.255066,playwright,0,0
icone-lingerie.com,Bodywear Leaning,0.6369047619047619,0.6238095238095238,0.65,"bodywear:lingerie,tanga;generalist:accessoires;vision_screenshot:0.65",1,,2025-11-07T13:15:04.596660,2025-11-07T13:15:09.772339,http+vision,34,8
ikon-o.com,Generalist,1.0,0.0,,generalist:accessories,0,,2025-11-07T13:15:10.099459,2025-11-07T13:15:10.762641,http,51,10
shopiuritamennoia.com,Bodywear Leaning,0.6777777777777778,0.5055555555555555,0.85,"bodywear:bikini,costumi;generalist:home;vision_screenshot:0.85",1,,2025-11-07T13:15:11.075037,2025-11-07T13:15:18.437771,http+vision,6,10
jaimies.com,Generalist,1.0,0.0,,,0,,2025-11-07T13:15:18.924698,2025-11-07T13:15:22.989382,playwright,0,0
khioneswimwear.com,Bodywear Leaning,0.625,0.5,0.75,bodywear:maillots;vision_screenshot:0.75,1,,2025-11-07T13:15:23.295871,2025-11-07T13:15:27.695790,http+vision,34,9
kikidm.com,Pure Bodywear,0.9791666666666666,0.9791666666666666,,"bodywear:lingerie,bra,bras,panties,pajamas",0,,2025-11-07T13:15:28.062505,2025-11-07T13:15:29.222938,http,100,9
lanoai.com,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T13:15:29.530235,2025-11-07T13:15:34.126129,playwright,0,0
lascana.de,Bodywear Leaning,0.5991935483870967,0.4483870967741935,0.75,"bodywear:bh,slips,dessous,nachtwäsche;generalist:accessoires,mäntel,jacken;vision_screenshot:0.75",1,,2025-11-07T13:15:34.500035,2025-11-07T13:15:39.831036,http+vision,97,10
laviantmie.com,Pure Bodywear,0.71875,0.5875,0.85,bodywear:lingerie;generalist:home;vision_screenshot:0.85,1,,2025-11-07T13:15:40.165165,2025-11-07T13:15:44.721613,http+vision,16,9
